word|definition|sentence
entail|impose, involve, or imply as a necessary result|Renting a vacation home will _____ certain risks, but you can minimize or avoid them by doing your research.
forsake|leave someone who needs or counts on you; leave in the lurch|We shall not _____ our old alliance with Gondor, and while they fight we shall aid them: so say I and all who hold with me.
ingenious|showing inventiveness and skill|Over the years I’ve interviewed scores of scientists, inventors, and entrepreneurs, and I’m continually impressed by how _____ humans are as a species.
lenient|characterized by tolerance and mercy|"I ask the court to be _____, in consideration of his age," says the attorney.
luminous|softly bright or radiant|Some of the boats shine _____ green, others glow blinding white like an alien spacecraft in a movie.
meager|deficient in amount or quality or extent|Usually there was a good supply of salt fish kept in barrels, but fish had not been plentiful the past summer, so now the supply was _____.
moderate|not extreme|Luckily, the restaurant we chose had _____ prices; none of us have any money.
notorious|known widely and usually unfavorably|When I asked him where it was, he said his shirt was to be laundered by the _____ gangster inmate Al Capone.
nurture|help develop; help grow|It’s great to set goals and _____ hope.
oblivious|lacking conscious awareness of|He was fast asleep, snoring like a squirrel in midwinter, _____ to all about him.
obscure|not clearly understood or expressed|Our argument ended in a draw; we agreed that the passage was _____ and that as it stood it could be explained either way.
ominous|threatening or foreshadowing evil or tragic developments|Her tone was _____, as though our next meeting would not be happy.
ornate|marked by complexity and richness of detail|The _____ lobby, with its marble columns and twisting staircases, leads to a lush, domed auditorium with seating for about 650 and decorated with a colorful timeline fresco detailing the country’s history.
resolve|bring to an end; settle conclusively|The problems that remain are serious and will require negotiations to _____ them.
serene|not agitated|She floated, _____ and at peace, on a black sea that knew no shore.
tranquil|not agitated|One moment everything was _____, and the next moment the geese were in a panic.
vigilant|carefully observant or attentive|I kept a _____ watch, sometimes rising in the small hours of the night to gaze out at the moonlit lanes and hedgerows.
abate|become less in amount or intensity|She crouched on the floor for some time waiting for her headache to _____.
abort|to give up on a half-finished project or effort|After they ran out of food, the men, attempting to jump rope around the world, had to _____ and go home.
accessible|obtainable, reachable|After studying with SparkNotes and getting a great score on the SAT, Marlena happily realized that her goal of getting into an Ivy-League college was _____.
acute|sharp, severe|Arnold could not walk because the pain in his foot was so _____.
adamant|impervious to pleas, persuasion, requests, or reason|In the face of such _____ refusal, there was no agreed plan within the administration on how to proceed.
admonish|scold or reprimand; take to task|“Don’t talk about your father like that on Christmas Eve. Shame on you,” Mrs. Meecham would regularly _____ her children.
affluent|having an abundant supply of money or possessions of value|It was one of the prettier, more _____ parts of the South Side, where people kept two cars in the driveway and had abundant beds of flowers blooming along their walkways.
aloof|distant, cold, or detached in manner|I treated him with indifference, and I stayed _____ and emotionally distant.
amiable|diffusing warmth and friendliness|Bill is a very nice fellow, _____ and full of knowledge, experienced on mountain trails, and with the inestimable bonus that he is a gifted orthopedic surgeon—just what you want in a dangerous wilderness.
anecdote|short account of an incident|It seemed everyone had a funny _____ to share or a touching memory of a loved one.
anonymous|being unknown, unrecognized|Mary received a love poem from an _____ admirer.
anxiety|intense uneasiness|When he heard about the car crash, he felt _____ because he knew that his girlfriend had been driving on the road where the accident occurred.
astute|marked by practical hardheaded intelligence|Here we find the words Homer applies to Ulysses, the same descriptions applied to the hero of the Odyssey: sagacious, cunning, _____, shrewd, artful, crafty, deceitful, tricky.
audacious|disposed to venture or take risks|Harry’s was an age that spawned bold dreams and _____ dreamers.
benign|kind in disposition or manner|There was no _____ smile upon Dumbledore’s face, no twinkle in the eyes behind the spectacles.
brusque|rudely abrupt or blunt in speech or manner|Brushing past Mariam, he said in a _____ voice, “I’m hungry. Get supper ready.”
canvas|a piece of cloth on which an artist paints|Picasso liked to work on _____ rather than on bare cement.
catalog|a list or collection|We received a _____ from J. Crew that displayed all of their new items.
chaos|absolute disorder|Mr. Thornton's sudden departure for the lavatory plunged his classroom into _____.
chastise|scold or criticize severely|He was quick to _____ me whenever I got lazy.
concede|admit or acknowledge, often reluctantly|Interviewed later, one of the men will _____ that the painting was nice, saying, "Sure, I liked it okay."
concise|expressing much in few words|A man of few words, Mendel was even more _____ in his writing: he had distilled nearly a decade’s work into forty-four spectacularly dreary pages.
deft|skillful in physical movements; especially of the hands|Alice was kneeling in front of her, facing away, as the woman bent over her and with _____ fingers wove her hair into complex braids, twisting flowers into it as she did.
desolate|providing no shelter or sustenance|Now the three travelers were standing on a _____ plain, with no signs of any kind of life whatsoever.
dissipate|go away, scatter, or disappear|“You forgot the bit about the fact that clouds _____ and vanishing into nothing,” said Yvaine.
ecstatic|feeling great rapture or delight|I was totally _____ about being a part of something that I’d heard so many wonderful things about.
emaciated|very thin especially from disease or hunger or cold|She coughed a lot, and she was very thin, almost _____; but she still took pride in her appearance.
exasperate|make furious|It would _____ him that Clara never seemed truly grateful for anything and never seemed to need anything that he could give her.
exult|express great joy|“I knew it! I knew it! Oh, my Jo, I am so proud!” and Beth ran to hug her sister and _____ over this splendid success.
furtive|secret and sly; marked by quiet and caution and secrecy|Isn’t she quaint, Luke would say to me, and my mother would look sly, _____ almost.
haughty|having or showing arrogant superiority|Even unconscious, he looked proud and _____, but there was nothing to be afraid of.
impassive|having or revealing little emotion or sensibility|Aru peered up at the statues and their cold, _____ faces.
implicit|suggested though not directly expressed|Aunt Lydia did not actually say this, but it was _____ in everything she did say.
impudent|marked by casual disrespect|That cup had its place and it was an act of _____ rebellion to place it anywhere else.
incessant|uninterrupted in time and indefinitely long continuing|I’m continually being scolded for my _____ chatter when I’m upstairs.
innate|inborn or existing naturally|Scientists, philosophers—and parents—have asked similar questions about what is _____ and what is learned in the infant brain, going all the way back to the ancients.
insolent|marked by casual disrespect|I was offended, took it far too much to heart and was _____ and beastly to her, which, in turn, made her unhappy.
interject|speak abruptly, especially as an interruption|I tried to _____, but I couldn’t get a word in.
inundate|fill or cover completely, usually with water|Residents in southern Queensland are on high alert as major floods _____ towns.
malleable|capable of being shaped or bent|She made the decorated pins herself, melting and molding _____ plastic into interesting shapes, seated at a picnic table in her backyard a few weekends ago.
meticulous|marked by extreme care in treatment of details|He was much too _____ an artist to permit so unsteady a hand to apply even a drop of paint to his hallways.
oblique|not direct, explicit, or straightforward|He lied to the senate, he gave _____ answers at best.
obsolete|no longer in use|The new microscope will replace an _____ model that the university purchased more than 30 years ago.
obstinate|marked by tenacious unwillingness to yield|They remain _____ and continue to defy the request from the Justice Department.
pervasive|spreading or spread throughout|The acrid smoke and its _____ smell made me sick to my stomach.
quell|overcome or allay|He closed his eyes, not to get lost in thought, but to _____ the rising anger within him.
reprieve|a relief from harm or discomfort|Their brief _____ was over, however; people were coming at them from all directions.
respite|a relief from harm or discomfort|The one place she could get a _____ from the heat was the air-conditioned officers’ club.
restitution|a sum of money paid in compensation for loss or injury|Under terms of a plea agreement, prosecutors will recommend a probationary sentence if _____ is paid to the victim for the damage.
strenuous|taxing to the utmost; testing powers of endurance|The two-hour hike up is _____ and you won’t be alone if your T-shirt is drenched with sweat by the time you finish.
succinct|briefly giving the gist of something|“An admirably _____ and accurate summary, yes,” said Dumbledore, bowing his head.
tedious|so lacking in interest as to cause mental weariness|Rufus said I didn’t have to, but as _____ as the work was, I could stand it easier than I could stand more long hours of boredom.
undulate|move in a wavy pattern or with a rising and falling motion|Two Step spun once, then slid all the way to one side of the cart and made his whole body _____ like a wave.
usurp|seize and take control without authority|In some ways, she thinks he wants to _____ what should be her role.
wallow|devote oneself entirely to something|And do acknowledge what you’re feeling. That doesn’t mean you need to _____ in it, but labeling your feelings — recognizing you’re sad or overwhelmed in some moments — will allow you to function better.
wane|become smaller|I'll keep at it as long as my interest doesn't _____.
wily|marked by skill in deception|She delighted in his _____ mind, his shrewdness and his cunning; she was always forward to help him.
abhor|feel hatred or disgust toward|His father would _____ waste of any kind, to the point where he complained to Ashima if a kettle had been filled with too much water.
abide|to put up with|Though he did not agree with the decision, Chuck decided to _____ by it.
accommodating|helpful, obliging, polite|Though the apartment was not big enough for three people, Arnold, Mark, and Zebulon were all friends and were _____ to each other.
acute|having keen insight|Because she was so _____, Libby instantly figured out how the magician pulled off his "magic."
adhere|be compatible or in accordance with; follow devoutly|The fashions of Victorian Britain saw the firm prosper, with widows and other female relatives choosing to _____ to a strict code of clothing and etiquette when in mourning.
adhere|to stick to something|We had to _____ the poster to the wall with tape.
adverse|antagonistic, unfavorable, dangerous|Because of _____ conditions, the hikers decided to give up trying to climb the mountain.
advocate|to argue in favor of something|Arnold chose to _____ turning left at the stop sign, even though everyone else thought we should turn right.
aesthetic|characterized by an appreciation of beauty or good taste|Part of her interest in this was _____: she liked the look of the thing.
agriculture|farming|It was a huge step in the progress of civilization when tribes left hunting and gathering and began to develop more sustainable methods of obtaining food, such as _____.
allege|to assert, usually without proof|The policeman had tried to _____ that Marshall committed the crime, but after the investigation turned up no evidence, Marshall was set free.
alleviate|provide physical relief, as from pain|Other therapies _____ symptoms but don’t eliminate the underlying cause.
allocate|distribute according to a plan or set apart for a purpose|The person who finds this “inheritance” will receive a tenth of the money; the executor will _____ the remainder to the city.
altercation|a noisy quarrel|I also have to behave myself, play well with others, refrain from throwing desks, as well as refrain from any “violent physical _____.”
ambiguous|open to two or more interpretations|The charity said more needed to be done to protect consumers, claiming current rules were "_____".
amicable|friendly|Claudia and Jimmy got divorced, but in an _____ way and without hard feelings.
anomaly|deviation from the normal or common order, form, or rule|Indeed, Norway’s case was something of an _____: a rare example of reality intruding.
antagonism|an actively expressed feeling of dislike and hostility|The _____ between the two sides remained during the transition to democracy in the 1970s, resulting in deep divisions between right and left.
apathetic|showing little or no emotion or animation|We stare at one another, keeping our faces blank, _____.
archaic|so extremely old as seeming to belong to an earlier period|“I was just focused on mastering this _____ instrument, which was popular from the 16th to 18th centuries,” she says.
aspire|have an ambitious plan or a lofty goal|I _____ to be like him. Everything he draws blows me away.
assess|to evaluate|A crew arrived to _____ the damage after the crash.
attribute|explain or regard as resulting from a particular cause|Scientists _____ the significantly larger population in the Americas to a relatively disease-free society whose use of herbal medicine, surgery, dentistry, and hygienic and ritual bathing kept disease at bay.
attribute|a facet or trait|One peculiar _____ of the beetle is its thorny protruding eyes.
audible|able to be heard|The missing person's shouts were unfortunately not _____.
battery|assault, beating|Her husband was accused of assault and _____ after he attacked a man on the sidewalk.
bias|a tendency, inclination, prejudice|The judge's hidden _____ against smokers led him to make an unfair decision.
callous|emotionally hardened|However, his misgivings proved correct, because his father was _____ and cruel to the workers, forcing them to labor under harsh conditions from morning to night.
catalog|to list, enter into a list|The judge would _____ the victim's injuries before calculating how much money he would award.
cognizant|having or showing knowledge or understanding or realization|So we definitely need to be _____ and aware of that.
compensate|make payment to|Allotment ended in 1934, but the land taken was never restored and the government did not _____ Indigenous peoples for their losses.
complement|make perfect or supply what is wanting|Banchan are one of the great joys of Korean cuisine, acting as a _____ to the entree, such as a grilled meat or a bubbling stew, but treasured in their own right.
comprehensive|including all or everything|While long and detailed, the book wasn’t _____.
compress|to apply pressure, squeeze together|Lynn decided to _____ her lips into a frown.
consolation|the act of giving relief in affliction|The first week at August’s was a _____, a pure relief.
convention|an assembly of people|The hotel was full because of the cattle-ranchers' _____.
convention|a rule, custom|The cattle-ranchers have a _____ that you take off your boots before entering their houses.
cordial|politely warm and friendly|I consider myself a very _____ and pleasant person when encountering people.
counteract|to neutralize, make ineffective|The antidote was able to _____ the effect of the poison.
covert|secret or hidden|It's the job of a spy to be _____, secretive, undercover.
defile|make dirty or spotty|Many Native Hawaiians consider the mountain’s summit to be sacred and view the telescopes as a way to _____ the site.
defunct|no longer in force or use; inactive|The castle is _____; its trimmings and furniture, long gone.
deliberate|intentional, reflecting careful consideration|Though Mary was quite upset, her actions to resolve the dispute were _____.
denounce|speak out against|China chose to _____ the move as damaging to regional peace and security.
deplore|express strong disapproval of|They write books and articles to _____ it, fire off letters to the editor, and call in to radio talk shows with their criticisms and complaints.
diffuse|spread out; not concentrated in one place|There are roughly 3 million Uber drivers across the globe — a workforce too vast and _____ to organize for an effective work stoppage.
disclose|to reveal, make public|The CEO was forced to _____ to the press that the company would have to fire several employees.
discordant|lacking in harmony|Neither one of them heard the _____ sound of a jet engine coming near until it roared right above their heads.
discrepancy|a difference between conflicting facts or claims or opinions|In some cases, says Moult, it was not clear whether the _____ between AlphaFold’s predictions and the experimental result was a prediction error or an artefact of the experiment.
disperse|to scatter, cause to scatter|When the rain began to pour, the crowd at the baseball game was quick to _____.
dynamic|characterized by action or forcefulness of personality|Every art book Mrs. Richardson consulted described her in glowing terms: a self-taught genius, a feminist photographic pioneer, a _____ and generous intellect.
eloquent|expressing yourself readily, clearly, effectively|He wasn’t the most _____ or stylish debater on the stage.
elude|escape, either physically or mentally|Animal control officials said another coyote was spotted in the same part of the city around the same time but it was able to _____ capture.
eminent|standing above others in quality or position|When he outstripped the teaching abilities of his early mentors, his mother and former San Francisco Symphony music director Alfred Hertz decided he should study with the _____ pianist Artur Schnabel.
empathy|sensitivity to another's feelings as if they were one's own|I feel such _____ for my sister when she's in pain that I cry too.
emulate|strive to equal or match, especially by imitating|For a time years ago, there were groups who would _____ and imitate us.
enigmatic|not clear to the understanding|Both poets used _____, allusive imagery and are considered part of the Symbolist movement, influencing artists from Debussy to Picasso to Bob Dylan.
ethereal|characterized by lightness and insubstantiality|The steam was so thick that the players were vague, _____ forms in the mist.
exacerbate|make worse|A mild El Nino weather pattern was able to _____ last year’s blazes, prolonging the dry season.
fidelity|loyalty, devotion|Guard dogs are known for the great _____ they show toward their masters.
figurative|symbolic|Using _____ language, Jane likened the storm to an angry bull.
forlorn|marked by or showing hopelessness|I often think,” said she, “that there is nothing so bad as parting with one’s friends. One seems so _____ without them.
fortitude|strength of mind that enables one to endure adversity|Class,” she says, “today’s vocabulary word is _____. ‘Strength to endure.’
foster|to stimulate, promote, encourage|To _____ good health in the city, the mayor started a "Get out and exercise!" campaign.
harrowing|causing extreme distress|A cross-country journey was a _____ ordeal, five days of clanging, rocking, and bumping in a confined space.
heterogeneous|consisting of elements not of the same kind or nature|My current lab is the most _____: of 37 members, 14 of us are female and our backgrounds span 17 countries.
hierarchy|a system with ranked groups, usually according to social, economic, or professional class|Women found it very difficult to break into the upper ranks of the department's _____.
hypocrisy|pretending to believe what one does not|Once the politician began passing legislation that contradicted his campaign promises, his _____ became apparent.
hypothetical|supposed or assumed true, but unproven|Even though it has been celebrated by seven major newspapers, that the drug will be a success when tested in humans is still _____.
illicit|forbidden, not permitted|The fourth-grader learned many _____ words from a pamphlet that was being passed around school.
imperative|necessary, pressing|It is _____ that you have these folders organized by midday.
impetuous|characterized by undue haste and lack of thought|And likewise, two men prosper equally employing two different means, one being cautious and the other _____.
implement|to put into effect, to institute|After the first town curfew failed to stop the graffiti problem, the mayor decided to _____ a new policy to use security cameras to catch perpetrators in the act.
incendiary|inciting action or rebellion|The enraging, _____ and expertly crafted Crime + Punishment arrives in a moment inhospitable to the nuanced conversations required of the topic.
indigenous|originating where it is found|One day she meets Manuela, a speaker of Triqui, an _____ language of Oaxaca, and asks to record her speaking this language to document it.
insidious|working or spreading in a hidden and usually injurious way|Harsh judgment and malicious gossip are _____ and destructive to relationships.
irrevocable|incapable of being retracted|“Thursday,” Archie said, a command in his voice, no nonsense, final, _____.
latent|potentially existing but not presently evident or realized|“The _____ potential” for extreme fires in the west, as well as hurricanes in the east “and many other natural disasters, is worse with each warmer year”, he recently told the Guardian.
lavish|characterized by extravagance and profusion|When the rich lord turned sixty, he decided he would throw his most _____ banquet.
lethargic|deficient in alertness or activity|They were _____ and sloppy at times, including a four-minute power play sequence in the second period in which they didn’t even register a shot on Anderson.
liability|a handicap, burden|Because she often lost her concentration and didn't play defense, Marcy was a _____ to the team.
moderate|one who expresses moderate opinions|Because he found both the liberal and conservative proposals too excessive, Mr. Park sided with the _____ politicians.
multifarious|having many aspects|Cancer is not one disease but many diseases – more than 100 different types and subtypes, an illness so impossibly _____ that it defies the very limits of classification.
mundane|concerned with the world rather than with heaven, commonplace|He is more concerned with the _____ issues of day-to-day life than with spiritual topics.
myriad|consisting of a very great number|It was difficult to decide what to do Friday night because the city presented us with _____ possibilities for fun.
nefarious|extremely wicked|Or was the company engaged in a _____ conspiracy involving multiple people to steal years of hard-earned secrets?
nonchalant|marked by casual unconcern or indifference|It appeared _____ and not too concerned about me.
novice|a beginner, someone without training or experience|Because each of us was a _____ at yoga, our instructor decided to begin with the basics.
paradox|a statement that contradicts itself|The need to nurture living things, I believe, flows from our own innate knowledge that life is laden with _____: It is both robust and fragile, enduring and fleeting, commonplace and yet so precious.
paramount|greatest in importance, rank, character|It was _____ that the bomb squad disconnect the blue wire before removing the fuse.
parody|a satirical imitation|A hush fell over the classroom when the teacher returned to find Deborah acting out a _____ of his teaching style.
patent|readily seen or understood, clear|The reason for Jim’s abdominal pain was made _____ after the doctor performed a sonogram.
placid|calm, peaceful|The _____ lake surface was as smooth as glass.
plausible|apparently reasonable, valid, or truthful|This leaves many of the mysteries of the universe — like why stars are so big and atoms are so small — with no _____ explanation.
pragmatic|practical|The politician argued that while increased security measures might not fit with the lofty ideals of the nation, they were a _____ necessity to ensure everyone’s safety.
preclude|keep from happening or arising|An examination was quietly begun by the Office of the Comptroller of the Currency off the bank premises to _____ local panic.
prudence|cautious, circumspect|After losing a fortune in a stock market crash, my father vowed to practice greater _____ in future investments.
pungent|strong and sharp to the sense of taste or smell|I used shallots instead of garlic and added a little oil to turn it into a sweet, _____ dressing.
rash|hasty, incautious|It’s best to think things over calmly and thoroughly, rather than make _____ decisions.
reconcile|to return to harmony; to make consistent with existing ideas|The feuding neighbors finally reconciled when one brought the other a delicious tuna noodle casserole. Alou had to _____ his skepticism about the existence of aliens with the fact that he was looking at a flying saucer.
refute|overthrow by argument, evidence, or proof|And she didn’t even say anything to _____ his statement, didn’t even argue with him, which to me was strange.
relish|to enjoy|Pete always liked to _____ his bedtime snack.
repentant|feeling or expressing remorse for misdeeds|The old woman looked up at him when he said that, as worshipful as a _____ sinner testifying in church.
resilient|able to recover from misfortune; able to withstand adversity|The _____ ballplayer quickly recovered from his wrist injury.
salutation|an acknowledgment or expression of good will|Whenever I went out, I heard on all sides a cordial _____, and was welcomed with friendly smiles.
speculative|not based on fact or investigation|This is where other scientists say the study gets too _____.
superfluous|more than is needed, desired, or required|And though nonlawyers might assume that the language of contracts, such as the party of the first part, must serve some legal purpose, most of it is _____.
tenuous|lacking substance or significance; weak or unstable|When Hoover met with White, his grip on power remained _____, and he was suddenly confronting the one thing that he’d done everything to avoid since becoming director: a scandal.
transient|lasting a very short time|If they're _____, that means they only last a short while.
tremulous|quivering as from weakness or fear|He caught sight of me, and I gave him a weak, rather _____ smile.
ubiquitous|existing everywhere, widespread|It seems that everyone in the United States has a television. The technology is _____ here.
vindictive|disposed to seek revenge or intended for revenge|Her story is the only one in which the good goddess, Ceres, appears cruel and _____.
vivacious|vigorous and animated|Described by her friends and family as _____, confident, bright, and strong, Sergeant Gee excelled in the Marines.
abduct|to kidnap, take by force|The evildoers decided to _____ the fairy princess from her happy home.
abide|to remain|Despite the beating they've taken from the weather throughout the millennia, the mountains _____.
abridge|to cut down, shorten|The publisher thought the dictionary was too long and decided to _____ it.
abridged|shortened|Moby-Dick is such a long book that even the _____ version is longer than most normal books.
abstain|to freely choose not to commit an action|Everyone demanded that Angus put on the kilt, but he did not want to do it and chose to _____.
accentuate|to stress, highlight|Psychologists agree that those people who are happiest _____ the positive in life.
acclaim|high praise|Greg's excellent poem won the _____ of his friends.
accord|an agreement|After much negotiating, England and Iceland finally came to a mutually beneficial _____ about fishing rights off the cost of Greenland.
adept|extremely skilled|Tarzan was _____ at jumping from tree to tree like a monkey.
adorn|to decorate|We decided to _____ the tree with ornaments.
advocate|a person who argues in favor of something|In addition to wanting to turn left at every stop sign, Arnold was also a great _____ of increasing national defense spending.
aerial|somehow related to the air|We watched as the fighter planes conducted _____ maneuvers.
affinity|a spontaneous feeling of closeness|Jerry didn't know why, but he felt an incredible _____ for Kramer the first time they met.
aggregate|gather in a mass, sum, or whole|The project assembled hundreds of volunteers to make calls around the country and decided to _____ the data itself.
aggregate|a whole or total|The three branches of the U.S. Government form an _____ much more powerful than its individual parts.
aisle|a passageway between rows of seats|Once we got inside the stadium we walked down the _____ to our seats.
alias|a false name or identity|He snuck past the guards by using an _____ and fake ID.
amenable|disposed or willing to comply|If you asked an average taxpayer how he feels about a 6 percent utility increase, he’d probably be _____.
anguish|extreme sadness, torment|Angelos suffered terrible _____ when he learned that Buffy had died while combating a strange mystical force of evil.
animated|lively|When he begins to talk about drama, which is his true passion, he becomes very _____.
antipathy|a feeling of intense dislike|John had not much affection for his mother and sisters, and an _____ to me.
appalling|inspiring shock, horror, disgust|The judge found the murderer's crimes and lack of remorse _____.
appraise|to assess the worth or value of|A realtor will come over tonight to _____ our house.
apprehend|to seize, arrest|The police managed to _____ the criminal at the scene.
apprehend|to perceive, understand, grasp|The student has trouble trying to _____ concepts in math and science.
aquatic|relating to water|The marine biologist studies starfish and other _____ creatures.
arid|excessively dry|Little other than palm trees and cacti grow successfully in _____ environments.
artifact|a remaining piece from an extinct culture or place|The scientists spent all day searching the cave for any _____ from the ancient Mayan civilization.
ascertain|learn or discover with confidence|It was hard to _____ what had gone on.
assail|to attack|At dawn, the war planes decided to _____ the boats in the harbor.
asylum|a place of refuge, protection, a sanctuary|For Thoreau, the forest served as an _____ from the pressures of urban life.
asylum|an institution in which the insane are kept|Once diagnosed by a certified psychiatrist, the man was put in an _____.
attain|to achieve, arrive at|The athletes strived to _____ their best times in competition.
augment|to add to, expand|The eager student seeks to _____ his knowledge of French vocabulary by reading French literature.
avenge|to seek revenge|The victims will take justice into their own hands and strive to _____ themselves against the men who robbed them.
aversion|a particular dislike for something|Because he's from Hawaii, Ben has an _____ to autumn, winter, and cold climates in general.
ballad|a love song|Greta's boyfriend played her a _____ on the guitar during their walk through the dark woods.
bashful|shy, excessively timid|Frankie's mother told him not to be _____ when he refused to attend the birthday party.
boisterous|marked by exuberance and high spirits|They were too _____ to miss, loitering around one of the baggage carousels, laughing and talking as if they’d known one another for years.
buttress|a support usually of stone or brick|It was built of a light stone that shone almost like snow in the glare of the moon, a vast spreading complex of walls and roofs and a _____, all surrounding the slender spire.
cacophony|loud confusing disagreeable sounds|A car honked behind them, followed by others like a _____ of quarreling geese.
cajole|influence or urge by gentle urging, caressing, or flattering|Many times he had to be carried or we had to _____ him into continuing the journey.
candor|the quality of being honest and straightforward|After all the secrecy that had come before, it was very strange indeed—in fact it was thrilling—to be spoken to with such _____ and trust.
canvas|to cover, inspect|We decided to _____ the neighborhood looking for clues.
captivate|to get the attention of, hold|The fireworks were able to _____ the young boy, who had never seen such things before.
cherish|to feel or show affection toward something|She continued to _____ her red plaid trousers, even though they had gone out of style and no longer fit her.
choreography|the arrangement of dances|The plot of the musical was banal, but the _____ was stunning.
chronicle|a written history|The library featured the newly updated _____ of World War II.
chronicle|to write a history|Albert's diary would _____ the day-to-day growth of his obsession with Cynthia.
clamor|to loudly insist|Neville's fans decided to _____ for him to appear on stage, but he had passed out on the floor of his dressing room.
cleave|separate or cut with a tool, such as a sharp instrument|She glanced out of the window in time to see her father _____ a log into three separate pieces, which he then heaved onto a growing woodpile.
coerce|to make somebody do something by force or threat|The court decided that Vanilla Ice did not have to honor the contract because the label chose to _____ him into signing it.
collateral|secondary|Divorcing my wife had the _____ effect of making me poor, as she was the only one of us with a job or money.
collateral|security for a debt|Jacob left his watch as _____ for the $500 loan.
colossus|a gigantic statue or thing|For 56 years, the ancient city of Rhodes featured a _____ standing astride its harbor.
compelling|forceful, demanding attention|Eliot's speech was so _____ that Lenore accepted his proposal on the spot.
compliant|ready to adapt oneself to another's wishes|Sue had very strong opinions about what to do on a first date, and Ted was absolutely _____.
compound|a combination of different parts|My attraction to Donna was a _____ of curiosity about the unknown, physical desire, and intellectual admiration.
compound|a walled area containing a group of buildings|When the fighting started, Joseph rushed into the family _____ because it was safe and well defended.
compound|to combine parts|The dangers posed by the panicking crowds served to _____ the difficulty of finding a fire escape amid the smoke.
condone|to pardon, deliberately overlook|He refused to _____ his brother's crime.
conflagration|a very intense and uncontrolled fire|It didn’t look like a bonfire from down here, but a _____.
congenial|suitable to your needs|It was the perfect situation, the two of them together, in so _____ a setting.
consensus|an agreement of opinion|The jury was able to reach a _____ only after days of deliberation.
constrain|to forcibly restrict|His belief in nonviolence was able to _____ him from taking revenge on his attackers.
construe|to interpret|He would _____ her throwing his clothes out the window as a signal that she wanted him to leave.
consumption|the act of consuming|_____ of intoxicating beverages is not permitted on these premises.
contentious|having a tendency to quarrel or dispute|George's _____ personality made him unpopular with his classmates.
convene|to call together|Jason decided to _____ his entire extended family for a discussion.
copious|large in number or quantity|The storm also brought _____ amounts of hail.
corroborate|support with evidence or authority or make more certain|Four people who witnessed the behavior firsthand were able to _____ her story, according to the report.
covet|wish, long, or crave for|When he was younger, Toby would _____ the expensive basketball shoes everybody else wore.
criteria|standards by which something is judged|Among Mrs. Fields's _____ for good cookies are that they be moist and chewy.
culmination|the climax toward which something progresses|The _____ of the couple's argument was the decision to divorce.
cumulative|increasing, building upon itself|The _____ effect of hours spent in the sun was a deep tan.
cunning|sly, clever at being deceitful|The general devised a _____ plan to surprise the enemy.
curtail|to lessen, reduce|Since losing his job, he had to _____ his spending.
